Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
BIDU,Communication Services,-,23.62,5.30,15.60%,349.60M,-9.25%,45.40B,11.71,13.50%,0.00%,280.73M,-12.49%,1.88B,1.66,2.32,31.90%,1.50% / 1.97,0.34%,17.34B,2.62,-29.30%,-11.27%,4.21M,-16.01%,90.24,1.39,3.50%,180.05,-5.64%,69.11,1.81,14.21%,6.20%,73.58 - 160.88,9.42%,-,-,-17.70%,3.40%,-22.20%,0.77,-,2.90,7.80%,49.70%,70.10%,4.92,41300,2.90,9.60%,14.50%,28.03,1.85% 2.77%,Yes,0.38,742.00%,10.80%,1.03,129.87,Yes,0.28,Aug 22 BMO,0.00%,2.13M,125.16,1.80,-13.53%,-12.60%,-4.03%,"2,200,928",-3.63%
AMD,Technology,"NDX, S&P 500",-,-0.02,0.50%,1.61B,-1.97%,168.74B,25.43,50.33%,-9.30%,1.61B,-4.35%,-25.00M,-,0.68,70.70%,1.56% / 0.36,-2.30%,21.88B,7.71,-67.30%,3.28%,25.04M,31.68%,34.20,3.08,0.00%,137.67,7.31%,3.93,26.85,9.14%,0.00%,54.57 - 132.83,62.81%,-,90.38,21.90%,2.40%,-20.61%,1.79,-,1.60,35.10%,43.70%,93.24%,4.64,25000,2.20,-18.20%,-1.70%,40.87,4.02% 3.90%,Yes,0.04,-93.90%,-0.10%,0.86,104.44,Yes,0.03,Aug 01 AMC,0.00%,69.50M,105.45,2.00,-5.52%,-7.78%,16.08%,"59,820,617",0.97%
T,Communication Services,S&P 500,-,-1.30,0.09%,7.18B,-2.23%,100.16B,5.70,2.45%,0.00%,7.14B,-4.16%,-8999.00M,-,0.62,54.40%,1.60% / 2.38,-15.11%,121.44B,0.82,-139.30%,-0.90%,114.07M,-27.05%,14.19,0.99,-2.20%,18.74,-23.72%,1.34,10.51,-0.51%,-8.50%,13.43 - 20.50,-23.68%,1.11,5.49,-22.90%,-3.60%,-31.46%,0.61,7.90%,0.60,-5.50%,58.90%,4.62%,0.27,160700,0.70,0.90%,-2.20%,39.23,1.19% 1.70%,Yes,1.41,5.40%,-7.40%,0.67,14.01,Yes,1.26,Jul 26 BMO,-,48.02M,14.05,2.70,-2.13%,-6.54%,-20.35%,"32,193,933",0.29%
GOOGL,Communication Services,"NDX, S&P 500",27.91,4.57,0.28%,6.81B,-1.62%,1641.29B,19.13,18.22%,-1.69%,5.92B,6.93%,60.95B,1.72,1.44,78.60%,0.76% / 1.42,3.77%,289.53B,5.67,-18.80%,-0.21%,45.22M,33.45%,21.09,6.04,16.50%,147.79,6.62%,9.19,13.87,16.20%,23.50%,83.34 - 133.74,44.46%,-,23.09,23.30%,23.40%,-4.70%,1.06,-,2.10,20.60%,55.70%,52.94%,2.99,181798,2.20,7.10%,25.70%,49.94,1.95% 1.98%,Yes,0.05,11.40%,21.10%,0.96,129.92,Yes,0.05,Jul 25 AMC,0.00%,31.83M,127.46,1.90,-1.03%,2.45%,20.03%,"30,473,862",-1.89%
VIPS,Consumer Cyclical,-,9.56,1.56,1.74%,550.27M,-9.95%,9.14B,7.74,4.90%,0.00%,455.50M,-10.71%,968.60M,0.81,0.44,72.00%,2.18% / 2.14,-0.47%,14.46B,0.63,45.70%,-0.72%,9.95M,4.63%,8.06,1.85,12.90%,18.45,52.50%,4.20,3.56,11.82%,24.20%,6.36 - 19.13,9.46%,-,-,25.90%,12.30%,-21.96%,0.61,-,1.00,7.20%,21.30%,134.75%,0.81,6815,1.10,13.60%,7.10%,32.80,3.81% 4.21%,Yes,0.02,90.00%,7.50%,1.44,16.23,Yes,0.00,Aug 18 BMO,0.00%,4.64M,14.93,1.90,-13.72%,-12.40%,2.20%,"6,666,982",-8.01%
CCL,Consumer Cyclical,S&P 500,-,-2.79,0.10%,1.26B,-7.15%,19.79B,16.43,830.80%,-7.78%,1.03B,-11.67%,-3468.00M,-,0.77,50.90%,10.19% / 2.55,38.21%,17.49B,1.13,39.00%,9.15%,105.06M,34.40%,4.64,3.36,-6.70%,17.18,47.63%,3.52,4.43,-,-50.50%,6.11 - 19.55,93.42%,-,-,-28.00%,-10.60%,-20.26%,2.40,-,0.50,-7.00%,42.00%,155.16%,0.61,85000,0.50,104.50%,-8.60%,34.99,2.62% 3.02%,Yes,5.75,80.00%,-19.80%,0.62,15.80,Yes,5.44,Jun 26 BMO,-,41.20M,15.59,2.30,-10.81%,-8.55%,32.87%,"25,649,464",-1.33%
PYPL,Financial,"NDX, S&P 500",16.60,3.58,0.20%,1.11B,-3.44%,64.34B,10.53,13.84%,0.00%,1.10B,-18.63%,4.08B,0.96,1.23,76.00%,1.73% / 1.05,-3.02%,28.56B,2.25,-40.60%,1.44%,18.91M,-22.56%,17.70,3.36,5.30%,86.11,-40.23%,9.13,6.51,17.38%,20.40%,58.15 - 100.63,-16.57%,-,18.84,5.20%,9.30%,-40.95%,1.37,-,1.30,16.00%,41.30%,2.18%,2.16,29900,1.30,7.10%,15.70%,34.21,3.25% 2.78%,Yes,0.54,413.70%,14.30%,1.06,58.60,Yes,0.54,Aug 02 AMC,0.00%,17.99M,59.42,2.10,-11.68%,-12.21%,-18.48%,"18,996,626",1.40%
KO,Consumer Defensive,"DJIA, S&P 500",25.20,2.42,0.67%,4.33B,-0.36%,262.10B,21.58,6.89%,-2.95%,4.30B,-2.31%,10.51B,3.95,0.70,71.50%,0.46% / 1.45,-2.95%,44.14B,5.94,-2.60%,0.39%,19.83M,2.92%,6.01,10.14,11.00%,69.97,-6.06%,3.65,16.70,6.38%,42.80%,54.01 - 65.47,-4.18%,1.84,27.62,14.30%,14.00%,-6.90%,0.54,3.02%,1.00,3.50%,58.50%,12.84%,0.72,82500,1.10,5.70%,26.10%,47.66,0.98% 1.20%,Yes,1.60,34.10%,23.80%,0.81,60.61,Yes,1.37,Jul 26 BMO,73.30%,13.64M,60.95,2.00,-0.96%,-0.16%,-0.92%,"11,065,636",0.56%
V,Financial,"DJIA, S&P 500",30.21,7.88,0.12%,2.04B,-0.78%,483.13B,24.17,13.48%,-9.66%,1.59B,-0.61%,16.24B,2.07,2.25,98.90%,1.88% / 4.73,1.96%,31.83B,15.18,24.50%,0.71%,29.96M,5.46%,18.20,13.09,18.70%,277.89,11.02%,9.25,25.76,14.59%,45.70%,174.60 - 245.37,14.64%,1.80,25.90,20.10%,28.10%,-2.93%,0.95,0.76%,1.50,9.80%,79.90%,36.41%,3.68,26500,1.50,11.70%,64.50%,49.26,1.61% 1.55%,Yes,0.55,24.70%,51.00%,0.67,237.37,Yes,0.55,Jul 25 AMC,21.90%,6.33M,238.17,1.80,-0.33%,1.18%,6.25%,"4,270,250",0.34%
COIN,Financial,-,-,-5.64,0.20%,234.61M,-9.65%,17.92B,-,-100.00%,46.06%,182.13M,-27.72%,-1277.90M,-,-0.54,59.30%,13.91% / 1.65,21.46%,2.70B,6.64,-181.40%,-0.30%,25.33M,11.59%,24.53,2.98,-1.10%,91.57,-14.34%,21.10,3.47,-,-22.70%,31.55 - 114.43,106.81%,-,6.90,-,-25.60%,-36.04%,2.78,-,1.00,-,85.60%,131.98%,5.47,4510,1.00,-12.40%,-48.50%,33.17,4.92% 5.93%,Yes,0.58,91.60%,-47.30%,0.65,75.56,Yes,0.58,Aug 03 AMC,-,15.34M,73.19,2.50,-17.91%,-8.45%,18.66%,"9,972,333",-3.14%
JD,Consumer Cyclical,NDX,17.56,1.89,6.08%,1.57B,-9.19%,56.28B,9.82,17.00%,0.00%,1.31B,-9.71%,3.00B,0.86,0.79,16.10%,1.79% / 2.14,-7.51%,146.74B,0.38,384.80%,-10.54%,23.47M,-38.80%,19.36,1.71,3.70%,57.15,-41.03%,18.97,1.75,20.43%,10.20%,31.57 - 67.87,-41.01%,0.62,7.81,139.90%,3.90%,-51.22%,0.55,1.87%,1.10,23.60%,14.50%,4.89%,1.55,450679,1.30,7.60%,2.60%,33.72,3.14% 3.13%,Yes,0.23,50.90%,2.00%,1.53,34.76,Yes,0.14,Aug 16 BMO,0.00%,10.96M,33.11,1.90,-13.07%,-10.93%,-26.20%,"16,718,543",-4.75%
BA,Industrials,"DJIA, S&P 500",-,-7.50,0.10%,605.50M,-3.85%,135.44B,49.14,297.70%,-1.33%,602.65M,6.10%,-4477.00M,-,-0.43,58.20%,1.17% / 1.28,9.37%,73.61B,1.84,-16.20%,1.08%,7.02M,6.80%,-25.63,-,-3.30%,252.01,35.56%,23.03,9.84,-,27.70%,120.99 - 243.10,18.98%,-,17.30,-22.00%,-8.70%,-6.77%,1.42,-,0.30,-6.70%,6.70%,87.33%,5.21,156000,1.20,18.40%,-4.60%,48.38,2.15% 2.20%,Yes,-,-176.00%,-6.10%,0.65,224.54,Yes,-,Jul 26 BMO,-,5.47M,226.65,2.00,-2.09%,2.71%,11.22%,"3,577,552",0.94%
NFLX,Communication Services,"NDX, S&P 500",47.10,8.59,1.35%,443.88M,-4.06%,178.59B,26.29,29.55%,-3.51%,437.02M,-7.52%,3.88B,1.95,3.50,80.30%,2.05% / 1.23,8.95%,32.13B,5.56,-14.40%,2.97%,8.97M,15.35%,51.44,7.86,8.60%,457.56,67.75%,19.43,20.82,24.17%,19.80%,211.73 - 485.00,37.18%,-,41.92,44.90%,12.80%,-16.59%,1.29,-,1.30,22.00%,38.80%,91.06%,11.92,12800,1.30,2.70%,17.50%,37.64,2.41% 2.61%,Yes,0.63,2.90%,13.20%,0.59,403.00,Yes,0.62,Jul 19 AMC,0.00%,7.30M,404.53,2.20,-5.31%,-6.41%,15.08%,"4,304,000",0.38%
MOMO,Communication Services,-,9.10,1.04,5.67%,188.51M,-5.77%,1.87B,6.23,5.60%,0.00%,140.24M,-8.33%,217.30M,6.19,0.35,70.20%,1.89% / 2.27,11.15%,1.70B,1.10,148.60%,-2.29%,2.66M,4.84%,7.61,1.24,9.90%,11.76,132.47%,7.56,1.25,1.47%,15.00%,3.74 - 11.12,15.46%,-,12.03,-7.50%,7.90%,-14.84%,0.94,-,2.20,7.40%,41.30%,153.20%,0.41,1705,2.20,-10.50%,13.80%,36.98,3.28% 3.74%,Yes,0.25,34.00%,12.80%,1.89,9.89,Yes,0.00,Aug 31 BMO,0.00%,1.17M,9.47,2.20,-8.15%,-5.40%,13.67%,"2,220,796",-4.25%
GOOG,Communication Services,"NDX, S&P 500",29.18,4.39,0.02%,5.80B,-1.58%,1610.91B,21.14,17.70%,-23.33%,5.03B,7.18%,-,1.96,1.32,62.21%,0.51% / 1.04,3.72%,289.53B,5.56,12.90%,-,25.47M,33.75%,21.15,6.06,-,142.30,6.47%,-,-,14.90%,-,83.45 - 134.07,44.38%,-,-,22.05%,-,-4.45%,1.06,-,-,-,-,53.52%,2.96,181798,-,7.10%,-,50.33,1.92% 1.96%,Yes,-,14.80%,-,0.96,130.46,Yes,-,Jul 25 AMC,0.00%,24.58M,128.11,1.70,-0.86%,2.51%,20.03%,"23,607,561",-1.80%
PFE,Healthcare,S&P 500,9.77,3.75,0.04%,5.65B,1.72%,206.13B,11.06,0.70%,-0.35%,5.64B,-0.30%,21.49B,-,0.61,70.50%,0.81% / 1.68,0.49%,77.94B,2.64,39.30%,0.53%,45.86M,-14.64%,17.54,2.09,10.60%,44.34,-25.59%,7.96,4.60,-,22.10%,34.65 - 54.93,-28.45%,1.64,19.33,22.70%,25.30%,-33.26%,0.57,4.47%,1.80,13.80%,68.80%,5.79%,0.70,83000,2.10,-54.10%,29.90%,55.60,2.00% 1.91%,Yes,0.66,-76.40%,27.50%,0.88,36.51,Yes,0.62,Aug 01 BMO,42.40%,27.27M,36.66,2.40,1.71%,-0.62%,-12.96%,"24,111,798",0.41%
TAL,Consumer Defensive,-,-,-0.22,83.90%,633.97M,-2.63%,4.32B,51.31,1400.00%,0.00%,486.11M,9.52%,-136.80M,-,0.06,57.30%,6.86% / 4.49,15.80%,1.07B,4.03,87.90%,-6.63%,33.33M,-13.71%,5.76,1.16,-2.90%,7.13,51.25%,4.71,1.42,-,-3.60%,2.81 - 10.45,-5.39%,-,-,-21.30%,-2.80%,-36.17%,0.06,-,3.50,-9.90%,54.50%,137.37%,0.37,11700,3.60,22.90%,-11.00%,47.53,2.85% 5.54%,Yes,0.00,-4.60%,-12.80%,0.44,6.76,Yes,0.00,Jul 27 BMO,-,7.42M,6.67,2.30,-5.01%,2.71%,2.30%,"3,240,681",-1.33%
JNJ,Healthcare,"DJIA, S&P 500",34.95,4.93,0.10%,2.60B,-0.78%,448.20B,15.23,5.29%,-1.88%,2.60B,2.44%,13.05B,8.04,2.67,70.80%,0.99% / 1.67,8.84%,97.77B,4.58,-13.70%,-0.36%,25.73M,9.01%,28.92,5.96,7.00%,184.05,2.93%,10.97,15.72,4.34%,17.60%,150.11 - 181.04,-2.35%,4.76,30.81,5.30%,15.40%,-4.72%,0.52,2.76%,0.90,4.40%,67.20%,14.91%,2.97,152700,1.10,6.30%,16.40%,57.44,1.65% 1.67%,Yes,0.61,8.60%,13.40%,3.22,174.01,Yes,0.45,Jul 20 BMO,91.70%,15.40M,172.49,2.40,0.32%,3.99%,4.23%,"49,580,127",-0.87%
MU,Technology,"NDX, S&P 500",-,-2.68,0.20%,1.09B,-1.21%,69.62B,-,75.70%,-12.38%,1.09B,-1.70%,-2911.00M,-,-1.18,82.40%,1.78% / 1.16,-5.89%,18.17B,3.83,50.70%,-1.29%,19.48M,5.90%,41.50,1.53,-4.40%,75.03,3.20%,9.46,6.73,-,-6.10%,48.43 - 74.77,27.23%,0.46,-,11.90%,15.40%,-14.95%,1.37,0.72%,2.60,8.60%,9.00%,31.30%,2.05,48000,4.30,-56.60%,-15.10%,41.40,3.49% 2.81%,Yes,0.29,-174.00%,-16.00%,0.57,63.56,Yes,0.29,Jun 28 AMC,4.05%,16.82M,63.59,2.20,-5.85%,-3.84%,4.53%,"9,572,044",0.05%
VZ,Communication Services,"DJIA, S&P 500",6.64,5.00,0.03%,4.21B,-0.54%,138.99B,7.07,-0.47%,-3.34%,4.20B,-1.37%,21.03B,-,1.19,63.80%,1.08% / 1.77,-8.16%,135.00B,1.03,-4.90%,-1.64%,45.36M,-16.72%,22.62,1.47,5.60%,40.13,-26.82%,1.15,28.94,-0.54%,22.90%,31.25 - 44.53,-15.79%,2.61,11.24,9.20%,10.10%,-25.49%,0.34,7.87%,0.70,1.70%,58.10%,6.18%,0.64,117100,0.70,-3.50%,23.70%,44.11,1.48% 1.86%,Yes,1.60,-10.80%,15.60%,0.84,33.06,Yes,1.45,Jul 25 BMO,51.90%,25.68M,33.18,2.90,-0.64%,-4.28%,-11.45%,"21,628,473",0.36%
AAL,Industrials,S&P 500,3.97,3.79,0.10%,653.60M,-3.90%,9.83B,4.51,-2.66%,-5.20%,644.85M,-13.76%,2.63B,-,0.89,55.50%,9.81% / 2.67,-0.07%,52.89B,0.19,106.30%,1.46%,63.23M,-8.24%,-6.71,-,4.00%,18.73,0.53%,19.70,0.76,-,-44.20%,11.65 - 19.08,18.24%,-,5.60,-46.10%,5.20%,-21.17%,1.56,-,0.70,2.80%,61.60%,29.08%,0.44,132500,0.70,-37.00%,9.20%,29.90,2.54% 2.51%,Yes,-,205.30%,5.00%,0.88,15.05,Yes,-,Jul 20 BMO,0.00%,23.68M,15.04,2.90,-6.90%,-10.62%,-0.62%,"20,767,843",-0.07%
AVGO,Technology,"NDX, S&P 500",25.84,31.96,0.10%,415.00M,-0.47%,341.34B,18.30,7.61%,-10.57%,403.34M,-7.04%,13.56B,2.44,10.42,80.70%,1.43% / 1.87,21.82%,35.04B,9.74,76.80%,3.38%,5.76M,37.52%,53.03,15.57,18.80%,880.43,53.33%,27.95,29.55,10.60%,61.00%,415.07 - 923.18,47.70%,18.40,19.98,45.80%,21.40%,-10.54%,1.14,2.23%,2.10,13.50%,67.70%,98.96%,20.46,20000,2.40,7.80%,45.20%,38.43,2.32% 2.18%,Yes,1.79,37.40%,38.70%,0.58,827.10,Yes,1.74,Aug 31 AMC,53.00%,3.07M,825.84,2.00,-5.84%,-4.81%,24.10%,"1,773,978",-0.15%
LI,Consumer Cyclical,-,172.58,0.23,0.04%,980.69M,-4.05%,44.34B,28.55,88.90%,0.00%,876.64M,3.57%,252.30M,-,0.30,29.50%,3.25% / 3.74,35.39%,10.21B,4.34,-497.60%,-2.92%,28.53M,56.95%,6.84,5.68,2.00%,52.59,25.62%,8.68,4.47,-,4.00%,12.52 - 47.33,90.34%,-,-,-,-6.00%,-17.96%,0.86,-,1.60,-,19.90%,210.17%,1.89,19396,1.80,228.10%,-0.30%,45.04,3.03% 3.71%,Yes,0.29,439.90%,2.50%,0.83,40.82,Yes,0.03,Aug 08 BMO,0.00%,7.64M,38.83,1.70,-6.90%,3.09%,45.34%,"6,314,400",-4.88%
GTHX,Healthcare,-,-,-1.71,0.90%,51.67M,-7.14%,92.60M,-,5.20%,-12.56%,46.29M,-25.10%,-77.80M,-,-0.33,51.30%,7.04% / 3.30,-34.53%,89.20M,1.04,4.40%,12.66%,3.26M,-52.48%,1.11,1.64,-46.80%,8.80,-85.85%,2.05,0.89,-,-143.30%,1.77 - 17.49,-66.48%,-,-,1.00%,-94.60%,-89.59%,1.88,-,3.70,-,94.40%,2.88%,0.11,170,4.10,300.00%,-74.70%,26.77,4.96% 5.34%,Yes,0.89,115.40%,-87.30%,0.57,1.79,Yes,0.89,Aug 02 BMO,-,988.68K,1.82,1.90,-14.91%,-24.32%,-56.50%,"566,199",1.68%
CAT,Industrials,"DJIA, S&P 500",17.04,16.07,-,512.90M,-4.00%,140.38B,13.06,5.12%,-,509.29M,4.87%,8.36B,1.23,4.70,70.90%,1.32% / 2.12,27.51%,64.77B,2.17,7.50%,-1.86%,6.70M,11.07%,35.55,7.70,10.10%,281.95,39.74%,14.41,19.00,13.83%,49.30%,160.60 - 293.88,14.29%,5.20,19.34,19.40%,11.00%,-6.83%,1.10,1.90%,0.80,5.50%,34.00%,70.49%,6.20,109100,1.30,21.60%,16.20%,54.16,1.96% 2.22%,Yes,2.07,81.10%,12.90%,0.80,275.17,Yes,1.26,Aug 01 BMO,29.70%,3.16M,273.80,2.60,-0.17%,6.42%,15.08%,"2,529,928",-0.50%
AYX,Technology,-,-,-4.51,1.20%,70.65M,-1.83%,2.02B,25.35,70.32%,-0.64%,62.17M,-27.70%,-315.20M,-,-0.06,86.40%,5.11% / 1.53,-27.41%,903.90M,2.24,-73.80%,-1.59%,3.18M,-57.98%,0.74,38.34,-19.20%,48.59,-57.43%,9.71,2.92,1.00%,-248.70%,28.26 - 70.63,-44.01%,-,-,98.39%,-29.00%,-59.83%,0.56,-,2.60,45.40%,85.90%,0.39%,1.89,2626,2.60,4.10%,-34.20%,26.79,4.43% 4.63%,Yes,23.75,-8.70%,-34.90%,0.66,28.47,Yes,23.75,Aug 07 AMC,-,2.07M,28.37,2.20,-19.85%,-28.97%,-40.79%,"1,372,436",-0.35%
