Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
PENN,Consumer Cyclical,-,5.29,4.34,0.10%,152.80M,-2.38%,3.78B,23.87,-75.38%,-15.60%,149.26M,-14.26%,734.70M,0.23,0.37,85.90%,6.51% / 2.12,-8.23%,6.56B,0.58,-47.50%,-,9.72M,-28.63%,27.48,0.84,4.30%,33.56,-36.28%,7.72,2.97,23.00%,18.90%,22.82 - 39.35,-22.69%,-,7.94,-30.70%,6.50%,-41.65%,2.19,-,1.40,15.30%,41.70%,0.61%,1.21,21875,1.40,2.90%,13.10%,40.61,4.42% 4.44%,Yes,1.75,222.80%,11.20%,1.17,22.83,Yes,1.72,Aug 09 BMO,0.00%,4.58M,22.96,2.50,-8.48%,-9.06%,-21.54%,"5,382,001",0.57%
CPRT,Industrials,"NDX, S&P 500",36.32,2.39,9.48%,476.79M,-1.15%,41.06B,31.57,10.48%,-3.08%,432.16M,-4.79%,1.15B,1.63,0.63,82.60%,0.97% / 1.91,-1.73%,3.76B,10.93,16.00%,-0.10%,4.18M,25.98%,11.73,7.40,19.90%,92.00,33.47%,4.47,19.42,22.30%,22.80%,52.28 - 94.77,42.62%,-,47.24,22.10%,23.90%,-8.37%,1.19,-,5.80,19.30%,44.20%,66.09%,1.47,9500,5.90,8.70%,37.40%,42.25,1.56% 1.61%,Yes,0.00,25.20%,30.70%,0.68,85.99,Yes,0.00,May 17 AMC,0.00%,2.18M,86.84,1.80,-1.91%,-2.48%,16.03%,"1,488,995",0.99%
TXN,Technology,"NDX, S&P 500",19.98,8.33,0.21%,908.00M,0.17%,152.40B,21.11,7.38%,-1.33%,906.02M,-7.46%,7.65B,2.00,1.82,86.70%,2.04% / 3.43,-1.96%,18.82B,8.1,13.80%,-1.35%,18.46M,-5.45%,17.56,9.48,27.00%,183.94,-5.78%,10.43,15.96,10.00%,50.80%,145.97 - 188.12,0.77%,4.96,47.90,20.80%,38.00%,-11.50%,1.02,2.98%,4.30,6.00%,66.30%,14.06%,3.61,33000,5.70,-13.10%,46.50%,39.39,1.85% 1.82%,Yes,0.70,-23.70%,40.60%,0.83,165.76,Yes,0.69,Jul 25 AMC,57.90%,5.37M,166.49,2.70,-3.88%,-5.02%,-4.13%,"4,455,607",0.44%
XYL,Industrials,S&P 500,52.93,1.88,0.10%,240.83M,-2.80%,23.98B,24.85,10.49%,-41.62%,240.02M,-12.41%,352.00M,2.82,0.89,91.70%,1.67% / 1.88,-4.76%,6.06B,3.96,-16.60%,0.64%,4.02M,-6.39%,48.17,2.06,3.50%,124.10,-2.80%,2.94,33.87,18.76%,7.00%,84.15 - 118.58,-10.05%,1.32,67.17,-1.20%,7.40%,-16.12%,1.1,1.33%,1.10,3.20%,37.90%,18.19%,1.97,17800,1.60,26.20%,7.80%,22.4,1.43% 1.79%,Yes,0.25,-28.20%,5.80%,0.53,99.51,Yes,0.23,Aug 02 BMO,66.70%,2.14M,99.46,2.40,-7.66%,-9.40%,-6.95%,"1,137,324",-0.05%
TAP,Consumer Defensive,S&P 500,362.24,0.17,0.10%,216.40M,-1.85%,12.87B,12.32,1.45%,-0.85%,168.09M,-10.03%,40.80M,47.51,1.51,87.20%,4.59% / 3.53,1.86%,11.18B,1.15,-117.50%,-2.53%,7.71M,22.63%,60.22,1.05,0.20%,68.78,13.20%,4.71,13.39,7.62%,0.30%,46.69 - 70.90,22.34%,1.64,11.47,-16.80%,0.20%,-11.10%,0.91,2.60%,0.60,-0.60%,34.90%,35.01%,1.27,16600,0.90,11.80%,4.20%,36.1,1.43% 2.00%,Yes,0.51,623.90%,0.40%,0.8,62.17,Yes,0.48,Aug 01 BMO,835.70%,2.18M,63.03,2.90,-5.26%,-5.35%,9.64%,"1,748,341",1.38%
ATVI,Communication Services,S&P 500,33.09,2.73,0.10%,786.00M,-0.81%,71.35B,20.48,4.62%,0.55%,780.17M,-1.97%,2.17B,2.59,0.90,83.10%,1.25% / 0.90,15.71%,8.71B,8.19,-44.30%,1.10%,9.73M,16.72%,26.45,3.42,8.00%,94.88,12.34%,16.67,5.43,12.80%,11.00%,70.94 - 93.67,18.18%,0.99,29.14,10.10%,6.30%,-3.42%,0.45,1.09%,4.70,1.40%,70.40%,27.53%,0.76,13000,4.70,34.20%,25.70%,51.94,0.55% 0.50%,Yes,0.17,108.10%,24.90%,1.21,90.43,Yes,0.17,Jul 19 BMO,17.00%,10.82M,90.47,2.80,-1.36%,3.49%,12.88%,"13,073,988",0.04%
COST,Consumer Defensive,"NDX, S&P 500",40.37,13.50,0.20%,443.81M,-3.20%,240.86B,35.10,10.58%,-1.70%,442.26M,-2.16%,6.00B,4.86,4.79,69.10%,0.94% / 2.31,9.40%,235.44B,1.02,16.60%,0.27%,4.15M,8.10%,53.10,10.26,9.10%,567.66,-2.05%,31.01,17.57,8.30%,27.10%,447.90 - 571.16,19.37%,4.08,41.36,16.70%,20.40%,-4.59%,0.79,0.75%,0.60,12.00%,12.10%,21.67%,7.59,304000,1.10,2.00%,3.30%,42.1,1.53% 1.28%,Yes,0.28,-3.70%,2.50%,1.04,547.11,Yes,0.28,Aug 02 AMC,26.60%,1.79M,544.94,2.10,-2.53%,0.40%,7.68%,"1,872,592",-0.40%
EL,Consumer Defensive,S&P 500,51.85,3.02,0.20%,357.90M,-6.53%,56.78B,31.51,47.80%,-6.84%,230.71M,-14.03%,1.09B,-,-0.04,91.30%,1.47% / 1.39,-21.60%,15.87B,3.58,-16.00%,-0.56%,3.40M,-37.21%,16.42,9.54,5.20%,223.30,-43.34%,15.26,10.26,-4.32%,19.10%,161.28 - 284.45,-36.85%,2.64,54.28,14.40%,23.10%,-44.91%,1.04,1.68%,1.10,8.40%,72.10%,-2.85%,4.82,63000,1.50,-11.50%,10.00%,23.86,3.08% 2.47%,Yes,1.25,-71.90%,6.90%,3.28,162.06,Yes,0.87,Aug 18 BMO,82.70%,2.44M,156.69,2.40,-8.74%,-14.69%,-29.83%,"8,012,999",-3.31%
MKC,Consumer Defensive,S&P 500,32.77,2.59,0.47%,268.40M,-1.69%,22.76B,29.03,10.12%,-4.27%,263.56M,-2.96%,699.80M,4.05,0.66,88.90%,2.77% / 4.95,-4.08%,6.52B,3.49,-9.80%,1.62%,7.31M,14.35%,18.39,4.62,5.40%,88.67,-8.22%,0.48,178.68,8.10%,14.70%,70.60 - 94.39,2.51%,1.56,37.18,6.30%,7.60%,-9.98%,0.58,1.84%,0.30,6.10%,36.40%,20.35%,1.21,14200,0.80,8.00%,14.90%,37.57,1.00% 1.36%,Yes,0.99,28.70%,10.70%,0.53,85.09,Yes,0.83,Jun 29 BMO,58.30%,1.48M,84.97,2.80,-3.11%,-3.91%,2.01%,"789,484",-0.14%
NKE,Consumer Cyclical,"DJIA, S&P 500",32.48,3.23,0.20%,1.54B,-3.03%,161.75B,23.83,17.85%,-11.13%,1.21B,-2.53%,5.07B,2.15,0.74,82.90%,1.30% / 1.90,-11.83%,51.22B,3.16,-14.00%,-0.24%,15.73M,-15.73%,9.12,11.49,13.00%,126.58,-10.45%,6.92,15.15,15.10%,34.00%,82.22 - 131.31,-10.43%,1.36,33.20,6.20%,20.90%,-20.18%,1.11,1.30%,1.80,7.10%,43.50%,27.48%,2.13,83700,2.70,4.80%,11.50%,36.04,1.73% 1.78%,Yes,0.64,-26.50%,9.90%,0.71,105.05,Yes,0.64,Jun 29 AMC,39.50%,8.26M,104.81,2.30,-3.37%,-3.68%,-8.87%,"5,834,872",-0.23%
PLD,Real Estate,S&P 500,31.97,3.80,0.32%,939.25M,-1.65%,110.99B,39.20,-6.37%,-0.37%,920.86M,-1.85%,3.32B,-,0.57,79.60%,1.14% / 3.49,-0.48%,7.72B,14.37,7.80%,1.07%,10.51M,-3.43%,56.86,2.14,4.00%,142.81,-11.59%,0.58,208.99,-6.05%,6.80%,98.03 - 138.23,7.75%,3.48,-,6.80%,2.80%,-12.12%,0.99,2.86%,-,17.90%,75.70%,23.91%,2.63,2466,-,95.80%,41.70%,44.13,1.66% 2.08%,Yes,0.53,59.80%,43.00%,0.63,120.2,Yes,0.53,Jul 18 BMO,86.50%,3.01M,121.47,1.70,-2.06%,-1.41%,0.23%,"1,886,815",1.06%
CDNS,Technology,"NDX, S&P 500",67.80,3.25,0.60%,272.68M,-2.44%,60.02B,37.77,14.73%,-26.70%,270.11M,-7.64%,889.60M,3.79,1.21,90.20%,0.81% / 1.11,1.71%,3.80B,15.79,23.70%,0.95%,2.18M,13.32%,10.78,20.46,17.40%,261.89,15.47%,3.21,68.68,17.91%,31.50%,138.76 - 248.16,37.29%,-,52.93,51.80%,25.10%,-11.13%,1.05,-,1.30,12.90%,89.40%,58.94%,5.24,10200,1.40,13.90%,28.80%,34.67,1.96% 2.20%,Yes,0.22,19.20%,23.40%,0.55,220.31,Yes,0.22,Jul 24 AMC,0.00%,1.97M,220.55,1.80,-4.43%,-5.00%,10.67%,"1,080,563",0.11%
PNW,Utilities,S&P 500,24.05,3.25,0.10%,113.41M,1.10%,8.83B,15.68,18.41%,0.00%,112.76M,-7.40%,369.50M,3.94,3.18,90.70%,1.92% / 2.71,0.05%,4.55B,1.94,-23.30%,-0.17%,2.17M,5.34%,52.61,1.49,1.70%,79.90,0.36%,0.07,1147.02,6.10%,6.70%,59.03 - 86.03,2.91%,3.46,-,-2.30%,4.40%,-9.04%,0.48,4.42%,0.70,3.90%,-,32.56%,1.44,82,1.00,5.70%,15.10%,41.9,1.16% 1.75%,Yes,1.47,-35.30%,8.90%,1.33,77.33,Yes,1.37,Aug 03 BMO,96.20%,800.19K,78.25,2.90,-2.73%,-3.92%,0.78%,"1,062,578",1.19%
EIX,Utilities,S&P 500,27.99,2.47,0.10%,385.00M,-2.11%,26.24B,13.59,7.77%,-5.69%,382.91M,-4.31%,951.00M,6.17,1.56,90.40%,1.73% / 4.52,0.28%,17.17B,1.53,-20.00%,0.70%,6.61M,2.71%,35.88,1.92,1.20%,74.46,-4.19%,0.51,134.59,4.53%,7.20%,54.45 - 74.92,8.52%,2.95,-,-12.70%,3.60%,-7.85%,0.82,4.27%,0.80,6.90%,62.20%,26.80%,1.31,13388,0.80,-1.10%,12.00%,44.4,1.43% 1.79%,Yes,2.42,45.40%,5.70%,1.1,68.6,Yes,2.13,Jul 27 AMC,115.80%,1.46M,69.04,2.60,-2.40%,-1.13%,1.60%,"1,612,762",0.64%
RHI,Industrials,S&P 500,14.82,5.04,0.20%,106.10M,-2.02%,8.00B,17.50,11.88%,-7.75%,104.02M,-8.56%,542.20M,-,0.81,98.20%,6.97% / 6.85,8.85%,6.92B,1.16,12.50%,-3.02%,7.25M,-9.95%,15.32,4.87,18.30%,71.58,-7.96%,6.74,11.07,-1.30%,34.50%,64.65 - 89.78,1.11%,1.92,11.71,17.70%,41.40%,-16.85%,1.3,2.57%,1.90,6.60%,41.30%,15.47%,1.75,16300,1.90,-12.00%,10.60%,44.36,1.46% 2.49%,Yes,0.00,-37.70%,7.80%,0.51,73.96,Yes,0.00,Jul 25 AMC,35.90%,1.06M,74.65,3.20,-1.41%,-1.69%,-1.42%,"535,432",0.93%
EW,Healthcare,S&P 500,33.93,2.26,0.10%,606.90M,-3.56%,45.89B,26.56,13.15%,-42.15%,602.76M,-17.34%,1.39B,3.51,0.59,84.90%,1.57% / 3.06,-12.39%,5.66B,8.11,2.40%,-0.08%,9.47M,-0.91%,10.51,7.29,16.10%,96.96,-23.82%,2.52,30.41,9.67%,22.80%,67.13 - 100.57,2.64%,-,67.29,12.50%,23.50%,-23.85%,1.03,-,2.30,9.40%,79.10%,14.08%,1.72,17300,3.20,11.40%,27.70%,26.94,1.77% 2.00%,Yes,0.09,-22.40%,24.60%,1.02,76.83,Yes,0.09,Jul 26 AMC,0.00%,3.10M,76.58,2.40,-7.05%,-12.24%,-5.90%,"3,156,479",-0.33%
FANG,Energy,"NDX, S&P 500",7.65,19.34,0.20%,180.37M,-1.08%,26.48B,7.82,14.57%,-12.03%,177.81M,5.73%,3.44B,-,4.22,98.10%,3.46% / 3.30,14.99%,8.31B,3.19,100.00%,-0.34%,6.15M,6.03%,86.23,1.72,13.10%,168.00,20.60%,0.10,1471.11,-0.73%,23.00%,108.31 - 164.90,9.89%,6.88,15.65,34.30%,24.60%,-10.22%,2.02,4.65%,0.40,51.60%,80.90%,36.68%,2.95,972,0.40,-62.90%,58.40%,62.03,1.66% 1.90%,Yes,0.42,-74.90%,41.40%,0.8,147.51,Yes,0.42,Jul 31 AMC,47.00%,1.86M,148.04,2.00,0.57%,7.32%,6.66%,"1,495,727",0.36%
PH,Industrials,S&P 500,24.85,16.01,0.20%,128.29M,-4.50%,50.57B,15.80,11.16%,-20.90%,127.63M,-1.25%,2.08B,2.38,5.30,85.90%,0.96% / 1.57,18.68%,19.07B,2.65,-24.40%,-0.42%,1.23M,12.19%,76.24,5.22,4.30%,444.73,32.95%,4.39,90.58,10.45%,13.70%,235.69 - 428.16,36.69%,5.92,22.96,6.80%,12.20%,-7.10%,1.51,1.49%,0.70,5.70%,33.80%,68.76%,8.9,55090,1.20,23.90%,14.40%,45.05,1.78% 2.16%,Yes,1.37,70.00%,6.60%,1.04,399.05,Yes,1.17,Aug 03 BMO,51.20%,779.13K,397.76,2.20,-2.70%,1.35%,17.76%,"809,834",-0.32%
WHR,Consumer Cyclical,S&P 500,-,-28.45,1.13%,55.00M,-3.85%,7.38B,7.77,7.80%,-4.10%,54.21M,-10.77%,-1555.00M,-,4.22,96.70%,9.36% / 7.18,1.12%,19.15B,0.39,-196.60%,-2.98%,5.07M,-6.87%,36.69,3.68,-9.10%,145.64,-21.85%,23.98,5.64,-11.67%,-58.70%,124.10 - 174.00,-4.46%,7.00,12.21,-35.80%,-13.30%,-22.33%,1.54,5.18%,0.50,-1.50%,15.20%,8.90%,3.2,61000,0.90,-6.00%,-4.50%,33.8,1.94% 2.18%,Yes,3.83,123.20%,-8.10%,0.84,134.32,Yes,3.17,Jul 24 AMC,-,706.83K,135.15,3.00,-4.95%,-7.47%,-4.64%,"596,307",0.62%
BIIB,Healthcare,"NDX, S&P 500",14.22,18.36,0.10%,144.70M,-4.58%,37.18B,15.35,10.39%,-2.35%,143.85M,-4.93%,2.66B,4.27,4.00,88.60%,2.38% / 2.94,-14.73%,9.97B,3.73,100.60%,0.84%,3.42M,-6.39%,99.98,2.61,10.70%,330.51,18.90%,42.69,6.12,3.33%,19.60%,193.65 - 319.76,-5.69%,-,33.10,3.70%,17.50%,-18.33%,0.14,-,2.90,-3.70%,77.00%,34.86%,5.88,8725,3.30,-5.10%,31.20%,34.53,1.76% 2.35%,Yes,0.43,-43.80%,26.70%,0.5,261.5,Yes,0.43,Jul 25 BMO,0.00%,1.16M,261.15,2.00,-3.17%,-6.98%,-8.50%,"585,568",-0.13%
BR,Technology,S&P 500,33.83,5.29,0.60%,118.00M,-1.59%,20.85B,21.18,11.13%,-13.65%,117.33M,5.80%,630.50M,2.87,0.95,90.40%,1.82% / 3.93,16.09%,6.06B,3.44,16.50%,0.24%,2.13M,24.66%,18.99,9.43,7.70%,174.86,0.77%,2.17,82.63,11.80%,31.80%,131.35 - 184.10,33.45%,3.20,27.87,7.50%,13.70%,-2.77%,0.97,1.79%,0.60,7.00%,29.50%,36.28%,2.87,14700,0.60,6.70%,15.40%,65.47,1.37% 1.54%,Yes,1.52,29.80%,10.40%,1.46,178.58,Yes,1.00,Aug 08 BMO,54.20%,542.79K,179.0,2.80,3.43%,7.55%,19.57%,"791,323",0.24%
GD,Industrials,S&P 500,18.42,12.18,0.50%,273.14M,-1.13%,60.92B,15.05,17.93%,-3.45%,271.72M,3.86%,3.37B,1.71,2.91,86.70%,1.10% / 2.55,6.40%,40.86B,1.49,5.50%,-0.94%,2.98M,-2.97%,71.31,3.15,6.50%,264.37,-7.53%,4.25,52.79,10.80%,18.00%,202.35 - 256.86,-9.55%,5.28,20.17,4.10%,12.20%,-12.63%,0.82,2.35%,0.90,4.90%,16.10%,10.91%,3.19,106500,1.40,10.50%,10.30%,55.67,1.19% 1.50%,Yes,0.50,-1.50%,8.20%,0.89,222.31,Yes,0.47,Jul 26 BMO,41.50%,1.17M,224.42,2.00,0.48%,2.91%,-1.72%,"1,040,605",0.95%
AMCR,Consumer Cyclical,S&P 500,14.66,0.65,0.20%,1.47B,-1.24%,14.13B,13.18,0.00%,0.00%,1.45B,-3.82%,970.00M,-,0.18,48.50%,1.79% / 3.47,-6.36%,14.93B,0.95,-12.20%,-0.81%,26.02M,-16.13%,2.89,3.31,5.60%,10.46,-26.44%,0.38,25.04,-0.74%,23.40%,9.25 - 12.98,-19.65%,0.49,21.57,1.80%,8.90%,-26.27%,0.86,5.12%,0.70,9.80%,18.70%,3.46%,0.19,37000,1.30,-1.10%,9.60%,39.25,2.19% 1.63%,Yes,1.65,-33.00%,6.50%,1.06,9.57,Yes,1.60,Aug 16 AMC,73.70%,7.50M,9.57,3.20,-3.06%,-3.79%,-12.80%,"7,982,698",0.00%
LRCX,Technology,"NDX, S&P 500",19.70,33.15,0.20%,134.92M,0.15%,91.63B,18.27,29.58%,-7.49%,132.90M,6.08%,4.51B,2.36,6.13,86.40%,2.36% / 2.42,9.05%,17.43B,5.26,21.80%,1.82%,3.13M,30.24%,62.31,10.48,27.60%,671.22,31.23%,38.26,17.06,8.33%,67.40%,299.59 - 726.53,55.35%,6.90,30.99,28.80%,42.50%,-10.13%,1.51,1.06%,2.00,16.50%,45.00%,117.94%,19.06,17700,3.10,-4.70%,34.70%,46.86,2.33% 2.54%,Yes,0.60,-17.60%,29.40%,0.72,648.56,Yes,0.59,Jul 26 AMC,16.70%,1.29M,652.94,2.30,-3.46%,0.90%,22.92%,"933,569",0.68%
KEY,Financial,S&P 500,7.24,1.50,0.10%,935.92M,-6.31%,10.14B,8.14,18.95%,3.05%,932.17M,-8.84%,1.39B,-,0.28,85.70%,4.38% / 2.14,7.76%,6.97B,1.45,-26.60%,-0.17%,40.83M,-43.24%,12.24,0.88,0.70%,13.11,-44.29%,3.64,2.97,-5.80%,12.50%,8.53 - 20.30,-37.83%,0.82,2.10,8.90%,11.90%,-46.65%,1.28,7.57%,-,4.30%,-,26.89%,0.48,17754,-,68.50%,54.70%,44.37,3.85% 4.18%,Yes,1.95,-50.30%,20.00%,0.76,10.78,Yes,1.95,Jul 20 BMO,53.20%,19.05M,10.83,2.50,-7.41%,1.14%,-23.56%,"14,556,391",0.46%
